"XL93","YL93","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route"
572278.4912,6284663.388,129.1137072,6,3,9,16,5,2,2,21,273.1887512,885.689209,5324.536133,72.11102295,164.9242249
573611.664,6277074.3,139.2835767,7,4,9,16,5,2,2,21,573.3067627,1220.93335,2563.095703,58.30952072,22.36067963
570242.3785,6273998.405,156.4539944,4,2,3,7,8,4,4,42,153.7060089,622.6530762,6728.968262,1874.726685,10
576118.8905,6274489.473,153.9543729,3,2,3,16,8,2,4,22,231.6424255,1728.218384,5554.105957,612.2091064,22.36067963
564771.6536,6285050.411,139.5570898,5,3,13,15,4,2,2,21,361.2082825,1237.003906,10676.52148,31.62277603,70.7106781
567347.96,6272360.19,165,4,2,3,7,8,4,4,42,158.9108429,2033.296875,9814.945313,869.7700806,10
578018.305,6282958.909,151.0431993,3,2,3,2,8,3,4,32,238.7506104,631.7823486,5258.991211,800.9993896,22.36067963
574878.365,6278692.531,144,18,6,8,15,3,2,2,21,161.5099335,636.0177002,1296.260864,400,20
573135.4737,6280527.568,136.9841887,6,3,2,1,7,3,3,31,95.68017578,225.8780518,1236.976074,22.36067963,10
575269.9558,6280922.309,144.485601,15,5,2,2,7,3,3,32,19.87300682,275.1652832,1848.397583,417.2529297,40
566032.656,6280552.816,181.0050109,17,6,2,3,7,3,3,31,1178.303711,776.9136353,7981.992676,2778.920654,20
571452.96,6279477.74,139,6,3,2,7,7,4,3,41,39.12155914,833.7841797,2509.747314,638.9053345,22.36067963
578890.395,6276971.889,140.3158073,5,3,10,11,1,4,1,41,697.0502319,1121.868896,5586.520996,110,212.1320343
576374.9127,6277276.602,154.6604043,15,5,2,15,7,2,3,22,216.6138916,995.9082031,3354.460938,566.0388794,14.14213562
